iter	RMSE
0	31.66177361
1	30.23884205
2	29.04636764
3	27.97528061
4	27.14083915
5	26.36113478
6	25.67897888
7	25.14638854
8	24.64502179
9	24.22871215
10	23.87620938
11	23.59105003
12	23.35259572
13	23.1345527
14	22.93906602
15	22.79141175
16	22.65106572
17	22.52641268
18	22.40402877
19	22.31296139
20	22.21272121
21	22.12646581
22	22.02726882
23	21.95043529
24	21.88420316
25	21.82591431
26	21.76282592
27	21.7008818
28	21.64729373
29	21.59801489
30	21.5502379
31	21.51570737
32	21.47203645
33	21.43609128
34	21.39088624
35	21.37604591
36	21.34598408
37	21.31192494
38	21.28192517
39	21.24939265
40	21.22005343
41	21.18839827
42	21.16046709
43	21.12681212
44	21.10835232
45	21.07389909
46	21.05262226
47	21.0298774
48	21.00000171
49	20.9705862
50	20.94825037
51	20.92316605
52	20.89477216
53	20.87378674
54	20.85367727
55	20.8221212
56	20.80153878
57	20.77781811
58	20.7480226
59	20.73124642
60	20.71361939
61	20.686062	2062	20.6631013
63	20.62739699
64	20.61303664
65	20.59565624
66	20.58196964
67	20.56622087
68	20.54396691
69	20.52779672
70	20.50947081
71	20.49365051
72	20.48142361
73	20.46279819
74	20.44188577
75	20.42894726
76	20.41322204
77	20.39697828
78	20.37857432
79	20.36337015
80	20.34504976
81	20.32427042
82	20.30505481
83	20.29275281
84	20.27547655
85	20.25597099
86	20.23405573
87	20.21886131
88	20.19964741
89	20.18400629
90	20.15535853
91	20.14256779
92	20.12745079
93	20.11257011
94	20.09537042
95	20.08532662
96	20.07138246
97	20.05454844
98	20.0450353
99	20.02837758
100	20.01436476
101	19.99834797
102	19.98108637
103	19.97191583
104	19.95977777
105	19.94431918
106	19.93107	19.107	19.91108	19108	19.900109	19.88847682
110	19.87700468
111	19.86457483
112	19.8514106
113	19.83814679
114	19.82716026
115	19.81509821
116	19.80452401
117	19.79530216
118	19.78358917
119	19.7739487
120	19.75764557
121	19.74333505
122	19.73263999
123	19.72287941
124	19.70202786
125	19.68804821
126	19.67682818
127	19.66855279
128	19.66126682
129	19.64934463
130	19.64239009
131	19.63456193
132	19.62227653
133	19.61416112
134	19.6003911
135	19.58886072
136	19.57913145
137	19.56869675
138	19.56082427
139	19.55165382
140	19.54059619
141	19.52565469
142	19.51826616
143	19.50831989
144	19.50238296
145	19.49114692
146	19.481062
147	19.46960003
148	19.46165609
149	19.45173244
150	19.44402888
151	19.42916919
152	19.41745142
153	19.41145195
154	19.40321463
155	19.39441544
156	19.38633075
157	19.38133828
158	19.37425319
159	19.36645219
160	19.35784302
161	19.34728069
162	19.34206537
163	19.33269357
164	19.32158491
165	19.31078635
166	19.29978483
167	19.29222121
168	19.28431609
169	19.27619036
170	19.26533677
171	19.25169358
172	19.24613336
173	19.23844154
174	19.2287285
175	19.22107068
176	19.21459301
177	19.20136798
178	19.18966393
179	19.18003499
180	19.17367599
181	19.16437211
182	19.15651252
183	19.14922071
184	19.14199884
185	19.1381597
186	19.13250526
187	19.12768185
188	19.11994209
189	19.11188087
190	19.10454796
191	19.0951227
192	19.08895554
193	19.08158594
194	19.07473423
195	19.0685343
196	19.05825917
197	19.05113009
198	19.04274963
199	19.03522879
200	19.02731022
201	19.02055357
202	19.01400523
203	19.00351027
204	18.99496935
205	18.9906547
206	18.98210954
207	18.97589069
208	18.9728093
209	18.96560477
210	18.95806988
211	18.95409841
212	18.94061793
213	18.9361025
214	18.92836482
215	18.92189353
216	18.91356677
217	18.90237837
218	18.89698471
219	18.89053485
220	18.8821579
221	18.87609456
222	18.86495264
223	18.85199263
224	18.84643826
225	18.83969924
226	18.83480787
227	18.83137084
228	18.82432929
229	18.81662327
230	18.80177543
231	18.79864536
232	18.79566607
233	18.78724323
234	18.78140688
235	18.77562881
236	18.76417949
237	18.75453275
238	18.74668395
239	18.73686295
240	18.73025002
241	18.71821847
242	18.71276203
243	18.70260393
244	18.6982058
245	18.69374245
246	18.68902595
247	18.68342548
248	18.67923394
249	18.67396581
250	18.66601099
251	18.65893646
252	18.65204314
253	18.64485717
254	18.63765615
255	18.63346266
256	18.62671607
257	18.62076974
258	18.61262217
259	18.60853248
260	18.59813633
261	18.59200889
262	18.58727656
263	18.58076241
264	18.57421276
265	18.56887281
266	18.56292432
267	18.55800703
268	18.5521397
269	18.54903035
270	18.54188079
271	18.53798856
272	18.53215071
273	18.52535187
274	18.51984144
275	18.51655077
276	18.50592798
277	18.50134059
278	18.49487767
279	18.4844675
280	18.47997958
281	18.474427
282	18.46598689
283	18.45738718
284	18.45321748
285	18.4504124
286	18.44242499
287	18.43626347
288	18.4295062
289	18.41818091
290	18.41165693
291	18.40789402
292	18.40385978
293	18.40083326
294	18.39616002
295	18.39167858
296	18.38346055
297	18.38063465
298	18.37171717
299	18.36585627
.39240265

