Model,R2,RMSE,MAE
CatBoost,0.6615579320662344,19.15827704896454,13.548974411134708
XGBoost,0.6531760298577286,19.393858221833558,13.587411962405792
MLP,0.6454459312411076,19.610461564892994,13.542363981752965
RandomForest,0.6155325175422778,20.41855376264916,13.395448023677691
LightGBM,0.6154784402829718,20.420076387466043,14.449292001894014
GBR,0.6121427596408269,20.520651292464457,14.930922258477747
KNN,0.6094631357280816,20.586071521550814,14.038923683802034
Ridge,0.6071082952334617,20.657137215919068,14.923794504184348
Bagging,0.6056437938595097,20.681184189700836,13.66520911282755
Linear,0.6039322506693601,20.740020444678194,14.961173318204214
ExtraTrees,0.5949313238438653,20.961510234398702,13.43344962758143
Huber,0.5871949003087081,21.172276564559446,14.433402412446977
SVR,0.5630309996703543,21.777785263558588,15.092013682276754
Lasso,0.5040362578087897,23.204769086203584,17.165517232462058
DecisionTree,0.4874653320810934,23.570356750610348,15.043946383823084
ElasticNet,0.4649516700835015,24.10486126230593,18.12079352999266
AdaBoost,0.4642949453768338,24.100591858367615,19.096766456517557
